id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology
871,covtype871,10,288,2939,268
872,covtype872,12,356,3103,134
873,covtype873,11,73,3096,192
874,covtype874,8,59,3064,319
875,covtype875,11,50,2917,30
876,covtype876,9,295,2920,42
877,covtype877,12,32,2935,162
878,covtype878,11,38,3129,190
879,covtype879,14,53,2924,0
880,covtype880,16,302,2929,85
881,covtype881,11,22,2936,201
882,covtype882,14,273,3004,301
883,covtype883,6,203,3168,700
884,covtype884,12,110,3130,421
885,covtype885,9,191,2775,134
886,covtype886,11,81,2744,170
887,covtype887,14,71,2698,30
888,covtype888,11,68,2927,0
889,covtype889,8,16,2941,216
890,covtype890,9,350,2942,242
891,covtype891,12,133,3112,210
892,covtype892,6,114,2931,30
893,covtype893,9,13,3038,376
894,covtype894,16,344,2954,242
895,covtype895,17,358,2959,361
896,covtype896,15,66,2980,175
897,covtype897,4,169,2749,30
898,covtype898,13,282,2943,60
899,covtype899,16,84,3156,458
900,covtype900,22,95,3060,454
901,covtype901,13,348,2976,300
902,covtype902,15,79,2948,120
903,covtype903,11,323,2851,170
904,covtype904,4,325,2937,30
905,covtype905,11,50,3104,150
906,covtype906,5,75,2753,30
907,covtype907,12,132,2666,42
908,covtype908,8,26,2955,124
909,covtype909,9,19,2953,67
910,covtype910,13,44,3129,722
911,covtype911,11,34,2996,400
912,covtype912,18,125,2859,127
913,covtype913,10,265,2979,242
914,covtype914,9,86,2955,258
915,covtype915,8,310,2948,60
916,covtype916,7,84,3146,306
917,covtype917,18,98,2683,67
918,covtype918,12,346,3159,642
919,covtype919,4,54,2952,85
920,covtype920,9,328,2950,30
921,covtype921,9,323,2953,60
922,covtype922,9,164,2861,180
923,covtype923,13,343,3165,649
924,covtype924,5,27,2952,67
925,covtype925,5,38,2954,30
926,covtype926,4,280,2952,30
927,covtype927,5,270,2957,60
928,covtype928,3,255,2957,90
929,covtype929,8,101,3188,547
930,covtype930,8,27,2955,42
931,covtype931,2,84,2951,0
932,covtype932,8,98,3111,90
933,covtype933,4,55,2952,30
934,covtype934,1,270,2953,42
935,covtype935,16,316,3121,127
936,covtype936,19,54,2855,180
937,covtype937,16,43,2746,60
938,covtype938,11,109,3124,218
939,covtype939,8,300,2963,201
940,covtype940,8,338,3112,95
941,covtype941,10,18,2926,242
942,covtype942,8,114,2811,330
943,covtype943,15,72,2656,182
944,covtype944,20,117,3064,134
945,covtype945,9,326,3014,30
946,covtype946,12,317,2917,108
947,covtype947,11,234,3031,295
948,covtype948,13,313,3138,216
949,covtype949,9,112,3098,272
950,covtype950,10,349,3032,127
951,covtype951,14,339,3032,95
952,covtype952,16,72,2896,319
953,covtype953,2,135,2846,0
954,covtype954,18,39,2995,0
955,covtype955,11,144,2795,258
956,covtype956,10,141,2955,124
957,covtype957,7,48,3132,324
958,covtype958,12,202,3241,277
959,covtype959,20,86,3057,42
960,covtype960,10,95,2977,309
961,covtype961,8,87,2976,210
962,covtype962,9,45,2755,108
963,covtype963,10,209,3160,295
964,covtype964,9,45,2954,67
965,covtype965,2,352,2780,30
966,covtype966,4,90,2940,30
967,covtype967,1,169,2943,60
968,covtype968,21,290,3099,604
969,covtype969,15,327,2895,212
970,covtype970,7,15,2779,0
971,covtype971,18,37,2595,218
972,covtype972,7,112,2951,60
973,covtype973,16,259,3005,324
974,covtype974,7,352,3035,42
975,covtype975,16,77,3113,30
976,covtype976,20,357,3083,127
977,covtype977,18,268,3049,537
978,covtype978,4,62,3144,313
979,covtype979,2,241,3049,469
980,covtype980,12,14,3170,524
981,covtype981,5,63,3054,323
982,covtype982,14,311,3052,85
983,covtype983,10,346,2977,210
984,covtype984,19,71,2827,124
985,covtype985,20,89,2653,417
986,covtype986,8,169,3185,42
987,covtype987,7,350,3105,90
988,covtype988,18,103,2922,182
989,covtype989,5,87,2979,120
990,covtype990,7,15,3167,408
991,covtype991,6,196,2898,350
992,covtype992,11,240,3157,830
993,covtype993,13,355,2814,95
994,covtype994,2,135,3221,371
995,covtype995,8,78,3073,330
996,covtype996,25,77,3013,277
997,covtype997,8,239,2959,30
998,covtype998,17,261,2978,277
999,covtype999,9,116,2876,162
1000,covtype1000,7,230,3166,771
