id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
463,product-463,124,160,100,69,52,167,93,166,48,113,84,105
464,product-464,81,117,159,29,50,183,141,79,83,20,116,116
465,product-465,105,190,90,124,138,94,176,40,22,103,190,81
466,product-466,85,87,139,54,204,70,208,39,41,52,148,4
467,product-467,119,142,99,28,82,54,93,72,96,68,195,242
468,product-468,7,79,184,78,178,117,141,204,143,197,105,126
469,product-469,62,140,121,14,63,73,58,108,140,27,144,71
470,product-470,84,147,179,199,122,75,99,199,52,8,49,183
471,product-471,130,188,128,50,24,226,139,150,128,179,153,5
472,product-472,156,174,134,76,56,128,164,175,79,75,85,109
473,product-473,138,209,187,123,111,106,186,144,91,80,105,85
474,product-474,148,180,47,135,175,55,89,162,3,174,196,172
475,product-475,164,210,48,116,130,51,28,165,50,39,143,242
476,product-476,77,126,171,196,45,204,57,31,114,35,92,139
477,product-477,117,151,21,108,173,57,144,223,99,83,63,39
478,product-478,222,247,259,107,43,155,84,160,174,19,124,153
479,product-479,102,162,212,60,114,6,140,200,114,52,105,60
480,product-480,36,107,26,200,126,57,141,175,100,54,80,199
481,product-481,185,212,176,167,32,235,101,209,138,47,96,134
482,product-482,76,83,89,22,110,213,196,17,51,204,164,172
483,product-483,68,90,96,244,95,91,62,96,146,209,120,40
484,product-484,124,170,66,155,191,124,28,51,53,138,189,177
485,product-485,214,230,213,166,167,138,100,181,110,204,70,119
486,product-486,196,219,176,149,78,106,136,272,59,200,129,29
487,product-487,115,137,34,114,212,180,54,200,133,148,43,153
488,product-488,42,116,16,99,73,135,56,88,121,141,41,229
489,product-489,172,189,175,195,68,179,219,192,41,29,147,102
490,product-490,89,170,79,157,102,115,97,75,177,59,144,17
491,product-491,176,204,170,33,152,144,42,67,44,96,124,41
492,product-492,209,224,133,216,183,44,58,24,140,122,187,76
493,product-493,173,208,153,163,186,133,70,100,54,197,147,41
494,product-494,71,85,75,66,101,111,72,166,62,132,97,246
495,product-495,108,158,219,219,176,190,165,148,131,151,111,203
496,product-496,219,237,181,177,38,201,116,60,32,99,25,177
497,product-497,216,250,138,207,22,68,60,55,106,164,68,72
498,product-498,119,189,63,66,60,71,108,58,59,206,135,202
499,product-499,133,202,242,87,79,134,75,129,8,41,102,149
500,product-500,117,190,201,108,138,65,104,97,36,171,215,85
501,product-501,53,144,19,20,148,57,93,35,176,103,168,135
502,product-502,192,264,87,68,174,188,69,27,147,67,138,24
503,product-503,103,115,47,207,139,183,78,178,47,163,160,99
504,product-504,191,255,210,180,57,104,117,126,198,162,124,169
505,product-505,195,259,141,41,60,75,139,40,184,70,131,103
506,product-506,162,256,166,189,130,224,78,26,197,113,135,191
507,product-507,146,197,175,32,155,34,99,11,70,184,149,132
508,product-508,168,173,168,157,27,159,76,198,46,141,145,156
509,product-509,143,163,90,75,60,80,137,44,105,180,119,176
510,product-510,142,221,96,16,45,170,26,156,49,34,165,52
511,product-511,174,270,200,167,61,150,178,77,198,86,3,151
512,product-512,29,101,26,31,125,160,202,75,127,82,158,47
513,product-513,31,108,220,49,138,161,116,134,172,175,193,43
514,product-514,193,244,83,135,61,202,179,164,201,76,27,193
515,product-515,96,180,162,147,208,171,161,164,66,163,265,135
516,product-516,178,240,21,153,113,166,173,169,192,103,172,102
517,product-517,93,147,106,123,125,123,189,139,22,57,82,203
518,product-518,158,171,72,180,109,79,103,208,173,120,185,199
519,product-519,154,187,102,107,127,234,183,18,129,171,203,224
520,product-520,154,242,90,63,127,178,178,11,190,20,221,220
521,product-521,215,225,28,119,68,258,162,192,209,119,58,49
522,product-522,152,224,63,213,112,39,10,98,58,109,180,91
523,product-523,112,206,96,158,31,83,31,66,143,172,93,180
524,product-524,167,261,82,71,93,247,178,152,119,227,44,55
525,product-525,8,101,101,78,129,216,163,99,75,40,22,138
526,product-526,160,225,102,80,203,250,174,64,68,82,155,109
527,product-527,124,218,114,177,31,84,191,211,16,44,57,100
528,product-528,27,76,57,241,70,172,213,110,101,122,23,213
529,product-529,221,309,84,182,100,30,195,191,30,45,196,87
530,product-530,150,182,79,165,76,199,39,207,138,48,148,98
531,product-531,73,116,210,175,30,173,225,186,207,146,151,66
532,product-532,91,155,38,33,39,146,62,195,184,96,205,176
533,product-533,142,220,33,88,166,128,134,88,81,15,135,210
534,product-534,37,116,163,78,194,41,21,18,90,78,79,93
535,product-535,90,124,232,44,86,127,76,208,125,66,64,104
536,product-536,77,103,81,220,67,137,48,20,148,145,121,105
537,product-537,255,286,80,32,69,34,171,174,105,28,156,5
538,product-538,83,141,76,216,143,170,193,61,139,72,201,34
539,product-539,131,159,238,66,16,67,102,188,108,34,192,268
540,product-540,109,190,113,179,134,97,179,30,227,148,139,231
541,product-541,18,28,21,48,114,115,203,177,75,43,113,203
542,product-542,119,212,108,43,108,112,186,149,256,135,137,68
543,product-543,176,222,210,246,63,126,143,198,166,26,112,128
544,product-544,183,246,215,76,152,35,164,17,187,254,163,88
545,product-545,78,97,156,23,143,54,173,113,182,139,133,204
546,product-546,38,43,147,178,126,75,207,205,68,48,137,50
547,product-547,42,93,139,208,65,174,109,201,63,46,23,86
548,product-548,87,134,102,82,62,107,8,56,48,126,173,150
549,product-549,103,106,138,162,114,113,168,21,60,195,108,100
550,product-550,81,100,76,253,35,186,93,193,174,95,227,98
551,product-551,187,260,99,206,56,189,174,89,73,16,226,193
552,product-552,215,260,163,192,160,38,146,149,227,191,58,172
553,product-553,199,206,131,115,87,50,94,58,125,194,244,110
554,product-554,65,79,94,216,0,85,62,199,209,131,54,28
555,product-555,46,125,108,95,126,135,96,187,173,186,163,54
556,product-556,209,296,214,19,81,178,187,97,135,121,130,74
557,product-557,96,107,149,30,120,71,202,78,74,91,73,105
558,product-558,158,250,188,143,164,67,54,80,192,188,34,18
559,product-559,77,115,109,161,139,109,125,174,182,118,54,127
560,product-560,80,159,148,9,161,102,11,107,189,45,165,156
561,product-561,21,44,63,189,171,81,43,223,189,158,152,194
562,product-562,45,72,166,94,84,239,86,124,207,168,27,107
563,product-563,27,41,207,49,47,121,128,57,66,156,26,93
564,product-564,210,280,57,181,166,178,36,28,94,87,13,52
565,product-565,149,150,30,131,149,152,69,25,144,98,172,175
566,product-566,26,97,187,95,162,81,164,128,173,71,203,97
567,product-567,68,126,44,61,166,115,110,196,68,58,119,123
568,product-568,206,229,183,167,105,107,162,36,191,98,209,59
569,product-569,81,93,26,215,235,221,161,152,52,32,171,129
570,product-570,254,273,195,207,45,146,206,97,175,58,129,43
571,product-571,55,99,76,94,39,217,119,218,96,158,124,180
572,product-572,140,228,119,38,62,131,69,49,52,57,36,102
573,product-573,47,57,64,74,48,173,97,49,50,126,142,128
574,product-574,234,302,166,32,48,58,194,157,184,71,156,238
575,product-575,104,154,82,119,38,125,139,64,17,58,233,182
576,product-576,140,229,245,194,86,44,217,57,187,114,63,151
577,product-577,155,157,204,197,91,125,182,247,134,156,186,119
578,product-578,76,78,43,180,22,175,191,54,155,150,136,172
579,product-579,193,203,182,40,96,199,134,201,202,187,57,142
580,product-580,21,63,59,36,183,45,186,222,195,34,97,3
581,product-581,173,252,103,125,198,99,150,109,40,84,119,116
582,product-582,188,246,33,188,150,96,160,255,34,150,149,163
583,product-583,215,313,186,88,156,146,22,106,80,166,63,32
584,product-584,217,307,123,68,32,75,153,141,234,217,108,130
585,product-585,128,170,217,165,36,9,97,142,128,221,59,73
586,product-586,194,243,66,99,99,104,118,186,67,179,71,55
587,product-587,221,234,43,220,148,142,203,203,15,129,217,193
588,product-588,67,131,184,133,28,77,156,200,165,226,81,104
589,product-589,169,204,7,69,48,126,188,54,7,29,75,160
590,product-590,124,179,204,37,87,166,67,71,102,81,180,55
591,product-591,184,190,199,68,44,45,190,50,208,60,158,78
592,product-592,120,176,135,180,64,104,47,164,26,82,55,57
593,product-593,135,154,191,100,210,131,222,93,108,198,195,114
594,product-594,170,211,233,105,118,183,187,97,185,165,174,204
595,product-595,122,194,66,94,92,23,16,203,87,214,172,97
596,product-596,152,211,29,65,197,240,97,93,109,154,194,17
597,product-597,94,116,8,183,92,55,143,172,84,94,79,24
598,product-598,166,228,164,86,82,157,65,86,222,203,183,131
599,product-599,58,114,236,58,175,90,58,215,218,182,110,39
600,product-600,192,193,40,250,164,158,122,185,137,76,234,52
601,product-601,97,173,148,86,118,173,112,84,83,161,71,45
602,product-602,127,151,158,111,117,125,284,76,213,82,117,75
603,product-603,113,197,168,147,199,25,182,113,225,132,111,167
604,product-604,128,185,105,147,23,57,196,193,16,203,204,117
605,product-605,80,169,142,112,118,167,78,161,42,222,171,72
606,product-606,98,182,79,169,19,166,75,172,177,92,181,146
607,product-607,184,263,21,122,203,181,92,43,130,128,228,187
608,product-608,136,184,112,177,69,113,125,71,244,207,93,88
609,product-609,158,193,63,110,147,73,216,198,153,118,190,80
610,product-610,196,239,157,51,98,220,56,29,184,95,110,187
611,product-611,100,151,27,128,82,101,155,175,43,129,123,158
612,product-612,161,232,58,37,115,176,174,103,114,150,186,153
613,product-613,179,246,93,219,50,87,145,169,131,205,191,123
614,product-614,76,168,47,113,88,89,150,179,44,132,173,136
615,product-615,190,199,106,251,222,204,109,134,132,183,19,54
616,product-616,34,35,116,180,267,143,179,120,195,15,203,32
617,product-617,186,265,54,30,74,189,137,163,139,33,204,223
618,product-618,136,193,152,50,157,73,53,59,229,39,119,68
619,product-619,132,213,181,104,83,106,182,123,46,175,61,73
620,product-620,159,231,246,191,192,68,245,184,193,74,129,32
621,product-621,19,45,126,92,120,96,18,76,145,126,48,160
622,product-622,172,192,94,48,105,28,40,90,127,240,19,63
623,product-623,93,190,151,234,146,21,125,183,141,53,159,16
624,product-624,85,123,54,91,128,1,71,176,226,63,114,58
625,product-625,208,215,237,64,51,126,217,60,195,53,166,100
626,product-626,27,43,62,82,47,206,49,179,189,14,70,76
627,product-627,143,222,141,208,121,151,191,196,251,248,30,114
628,product-628,68,122,14,127,76,143,101,190,93,30,175,90
629,product-629,43,61,209,95,136,114,66,208,138,198,142,174
630,product-630,83,143,164,40,98,205,106,188,170,161,127,127
631,product-631,194,288,49,109,39,188,58,141,84,183,50,12
632,product-632,76,120,54,228,214,49,24,194,129,150,187,268
633,product-633,204,237,89,112,102,153,111,76,36,100,176,133
634,product-634,164,255,93,162,53,30,188,47,112,206,90,121
635,product-635,138,159,48,11,174,25,164,42,105,66,117,39
636,product-636,193,236,193,30,68,28,159,169,166,50,21,116
637,product-637,111,132,145,142,86,174,148,86,57,251,196,141
638,product-638,158,237,278,21,98,6,90,231,230,35,22,82
639,product-639,212,251,117,240,65,99,149,104,6,25,226,254
640,product-640,58,92,121,84,112,77,122,25,147,66,218,127
641,product-641,67,129,182,65,272,162,112,34,114,194,188,45
642,product-642,144,157,119,84,141,129,31,73,81,152,31,127
643,product-643,234,259,78,155,155,58,92,219,145,185,37,115
644,product-644,79,176,177,179,125,78,181,138,131,116,196,193
645,product-645,26,53,48,221,154,145,188,211,153,98,34,202
646,product-646,87,114,117,196,102,219,39,206,49,122,90,38
647,product-647,86,169,157,159,73,169,200,192,196,121,148,6
648,product-648,216,247,112,93,213,23,107,83,210,85,152,91
649,product-649,6,23,44,126,161,88,79,32,137,139,166,42
650,product-650,160,178,50,138,171,91,94,20,67,31,99,156
651,product-651,128,180,257,208,75,108,89,140,217,208,81,91
652,product-652,229,291,188,174,124,200,34,101,245,173,170,101
653,product-653,101,141,132,59,130,214,229,8,19,150,192,223
654,product-654,39,65,207,192,86,52,179,182,69,108,120,162
655,product-655,31,113,204,75,161,144,102,130,102,26,141,191
656,product-656,47,58,146,135,171,153,130,148,198,223,201,23
657,product-657,247,255,198,46,67,39,131,121,63,122,132,188
658,product-658,219,302,43,76,159,130,66,189,191,19,73,145
659,product-659,122,210,56,48,195,38,16,109,153,96,76,149
660,product-660,152,217,10,80,30,185,55,215,42,12,57,102
661,product-661,205,265,49,51,66,175,65,90,173,76,194,154
662,product-662,80,87,31,96,48,83,198,182,188,133,201,107
663,product-663,85,137,45,126,98,7,37,197,121,157,157,136
664,product-664,95,152,83,73,183,174,128,49,114,81,78,51
665,product-665,87,176,18,192,38,50,145,201,34,196,153,200
666,product-666,218,229,136,9,66,154,129,23,159,136,207,54
667,product-667,182,205,160,174,190,214,157,195,82,251,36,72
668,product-668,101,172,229,166,161,111,218,40,94,109,27,154
669,product-669,211,246,183,174,66,31,52,99,157,197,71,186
670,product-670,139,231,121,109,133,160,122,187,248,38,170,116
671,product-671,114,154,161,150,112,101,57,135,126,82,118,84
672,product-672,49,78,160,61,120,48,146,191,84,10,26,151
673,product-673,55,132,135,174,205,156,169,68,6,110,154,95
674,product-674,116,190,209,151,160,82,152,231,232,167,230,18
675,product-675,87,89,32,96,160,128,30,197,179,226,281,96
676,product-676,166,198,68,62,80,182,82,117,219,153,58,57
677,product-677,118,125,156,127,25,143,59,46,232,86,68,126
678,product-678,34,118,92,201,188,55,87,203,65,143,234,206
679,product-679,92,109,211,185,182,102,32,121,207,104,88,188
680,product-680,163,239,98,108,23,83,128,220,132,273,198,191
681,product-681,202,242,114,225,146,268,40,98,112,189,253,84
682,product-682,80,135,172,92,64,101,247,11,55,30,217,32
683,product-683,278,281,85,108,91,177,156,93,196,155,183,49
684,product-684,94,125,58,146,158,82,131,67,107,101,103,192
685,product-685,96,125,146,101,150,182,175,86,141,60,69,147
686,product-686,49,52,157,130,186,185,67,108,159,68,13,133
687,product-687,223,270,87,8,104,14,186,118,135,195,125,144
688,product-688,205,233,56,129,211,51,153,165,55,238,162,138
689,product-689,54,88,77,178,196,54,59,130,236,193,90,101
690,product-690,160,196,231,182,240,19,84,206,228,81,204,16
691,product-691,130,130,93,187,44,66,51,92,139,205,89,50
692,product-692,65,153,147,79,204,151,219,43,94,215,157,129
693,product-693,98,155,72,201,145,99,98,98,5,209,61,108
694,product-694,116,183,101,252,175,144,195,67,100,233,76,195
695,product-695,74,97,138,163,126,24,110,90,137,254,78,112
696,product-696,186,277,32,107,177,206,118,105,124,172,213,115
697,product-697,105,202,22,50,180,95,19,249,169,135,165,83
698,product-698,46,111,139,129,189,31,189,57,87,41,173,105
699,product-699,74,99,182,260,159,61,175,155,159,163,135,220
700,product-700,189,253,176,147,122,156,113,115,121,150,181,82
701,product-701,253,280,89,283,147,230,189,170,124,137,181,77
702,product-702,128,211,95,213,59,123,218,30,132,138,146,35
703,product-703,229,287,5,62,198,50,129,85,196,222,97,71
704,product-704,86,103,189,176,166,162,123,124,217,61,226,188
705,product-705,146,220,24,111,72,239,48,263,7,183,77,167
706,product-706,135,196,156,152,171,192,70,173,107,70,204,106
707,product-707,149,233,35,194,88,109,192,85,161,62,26,126
708,product-708,74,126,62,166,162,113,89,218,98,127,133,133
709,product-709,184,218,119,238,53,45,50,140,233,40,251,31
710,product-710,157,187,149,90,197,131,116,182,167,154,105,217
711,product-711,65,151,63,129,201,26,125,61,107,119,104,189
712,product-712,49,52,109,78,37,71,126,102,181,23,109,55
713,product-713,226,261,56,184,94,135,180,193,133,103,200,124
714,product-714,61,151,182,89,125,138,92,209,145,70,209,39
715,product-715,60,148,184,227,8,161,164,112,79,194,123,249
716,product-716,185,240,86,179,102,200,97,69,129,41,158,213
717,product-717,35,90,122,130,62,77,90,227,106,152,146,206
718,product-718,137,171,128,210,219,216,109,34,163,138,79,130
719,product-719,106,193,101,209,40,164,25,61,229,216,95,181
720,product-720,198,231,230,141,20,133,192,200,106,112,75,115
721,product-721,81,172,74,43,102,214,219,44,111,147,122,136
722,product-722,184,234,163,39,115,111,123,50,140,63,206,213
723,product-723,130,147,163,257,258,176,112,165,147,69,185,226
724,product-724,246,296,44,207,38,138,150,61,200,18,222,124
725,product-725,87,91,99,80,115,14,35,10,119,227,164,90
726,product-726,171,224,49,86,156,176,111,171,57,217,73,101
727,product-727,62,75,150,141,133,77,143,91,142,120,96,148
728,product-728,4,47,12,178,178,204,75,206,154,223,94,150
729,product-729,82,129,57,95,146,178,205,184,85,131,201,194
730,product-730,71,152,115,6,43,33,32,109,161,68,246,272
731,product-731,16,30,41,116,67,104,128,210,184,4,34,157
732,product-732,98,148,102,86,58,190,29,128,95,192,30,209
733,product-733,213,236,45,179,136,249,37,53,113,78,143,117
734,product-734,236,286,103,67,143,77,194,155,189,63,16,62
735,product-735,183,184,138,128,130,162,108,186,188,10,233,167
736,product-736,184,246,172,79,198,215,85,138,85,65,163,88
737,product-737,202,252,149,35,139,272,127,178,93,118,118,202
738,product-738,72,143,163,108,184,67,155,32,42,100,113,97
739,product-739,151,175,233,85,48,76,94,140,85,188,210,73
740,product-740,45,63,265,96,64,152,233,214,138,138,139,137
741,product-741,201,246,90,113,59,100,104,208,199,148,169,174
742,product-742,135,233,101,164,133,51,51,104,115,150,112,49
743,product-743,157,246,55,163,27,195,50,147,67,102,6,151
744,product-744,235,271,157,200,195,128,194,194,180,38,259,175
745,product-745,214,263,29,98,210,137,169,69,105,206,159,151
746,product-746,186,230,142,185,153,115,13,163,128,195,20,147
747,product-747,161,223,75,60,133,162,155,88,206,106,203,193
748,product-748,216,285,239,100,33,85,169,84,51,229,98,72
749,product-749,40,67,73,134,239,49,192,133,53,216,218,158
750,product-750,62,147,59,65,18,55,142,45,143,12,166,75
751,product-751,243,331,45,91,92,192,218,280,180,196,163,233
752,product-752,199,237,187,156,36,127,44,131,206,224,38,45
753,product-753,114,150,7,154,43,242,32,176,132,207,42,66
754,product-754,171,236,184,25,116,78,53,117,228,87,86,189
755,product-755,26,63,147,55,166,29,43,60,192,38,235,2
756,product-756,153,169,23,53,73,265,149,37,151,198,53,101
757,product-757,157,182,206,88,174,159,190,166,54,65,174,105
758,product-758,161,242,54,151,23,84,61,103,33,108,126,68
759,product-759,208,269,268,30,25,63,18,126,149,74,81,10
760,product-760,116,191,134,143,84,45,124,65,128,198,76,128
761,product-761,189,248,187,165,16,88,220,116,66,88,174,102
762,product-762,86,147,203,126,130,177,65,26,151,51,153,192
763,product-763,66,102,82,98,111,177,76,227,116,191,116,172
764,product-764,107,146,111,39,93,117,162,62,40,67,174,152
765,product-765,151,188,124,119,15,139,108,205,132,68,238,96
766,product-766,99,141,133,156,184,156,55,37,90,202,58,107
767,product-767,65,109,171,52,92,166,39,198,34,209,33,215
768,product-768,128,202,161,181,36,129,127,172,60,203,162,157
769,product-769,64,118,23,157,23,103,134,46,189,49,129,215
770,product-770,150,199,64,192,106,9,159,10,46,90,40,91
771,product-771,113,174,69,227,200,109,45,231,46,193,192,197
772,product-772,87,99,118,178,77,220,156,92,229,216,167,80
773,product-773,173,208,219,142,163,188,91,16,125,125,132,81
774,product-774,230,281,176,48,82,33,69,257,181,33,65,77
775,product-775,181,264,148,47,219,30,106,237,162,173,42,46
776,product-776,214,267,220,190,72,44,44,117,97,115,158,190
777,product-777,131,218,136,133,33,33,148,117,145,200,242,77
778,product-778,156,248,34,204,96,28,57,104,137,93,256,132
779,product-779,153,200,187,215,127,60,155,165,181,119,72,178
780,product-780,135,219,103,137,81,62,176,52,23,129,19,143
781,product-781,109,189,157,243,79,181,76,189,29,225,171,117
782,product-782,212,223,222,201,77,129,183,83,178,191,220,118
783,product-783,59,114,276,65,129,193,103,162,168,222,165,40
784,product-784,30,35,157,92,258,143,60,98,36,189,34,191
785,product-785,95,159,121,168,80,165,210,195,118,105,120,238
786,product-786,122,141,85,227,6,93,236,233,24,223,277,250
787,product-787,228,258,175,233,156,68,101,113,226,208,78,73
788,product-788,113,189,98,168,148,36,45,56,142,105,2,200
789,product-789,142,226,208,155,141,28,64,154,178,50,209,20
790,product-790,48,81,183,133,90,42,115,106,82,80,57,46
791,product-791,139,195,105,145,107,141,108,73,107,25,162,31
792,product-792,157,206,168,211,102,20,177,137,228,172,77,15
793,product-793,82,167,35,64,79,107,171,62,195,83,65,202
794,product-794,122,157,79,94,74,170,129,33,111,246,31,40
795,product-795,276,295,105,78,23,201,201,79,174,86,172,72
796,product-796,207,231,196,92,187,70,30,101,117,158,12,58
797,product-797,154,238,99,129,163,208,140,208,136,61,140,200
798,product-798,13,82,92,148,135,204,182,32,263,176,214,34
799,product-799,22,26,127,7,217,203,163,190,181,87,172,122
800,product-800,205,221,101,97,141,111,52,92,95,214,202,161
801,product-801,138,197,183,104,133,49,107,139,90,168,82,222
802,product-802,52,116,123,158,200,58,200,42,160,44,194,150
803,product-803,79,118,102,21,121,40,92,160,26,13,196,231
804,product-804,184,204,100,140,72,202,156,152,268,138,74,173
805,product-805,147,154,109,117,136,85,54,36,85,249,43,48
806,product-806,153,223,94,160,135,120,239,190,230,248,152,54
807,product-807,130,151,131,169,211,160,53,135,128,161,133,160
808,product-808,98,133,44,200,86,160,83,161,81,5,34,16
809,product-809,177,207,234,39,128,23,117,89,256,58,163,240
810,product-810,164,246,139,214,54,127,44,66,135,31,53,47
811,product-811,123,186,99,57,100,87,226,226,77,139,57,94
812,product-812,140,198,64,107,202,159,42,130,45,167,176,31
813,product-813,119,160,264,36,84,52,153,111,250,122,116,77
814,product-814,55,101,113,129,171,86,46,123,181,134,102,157
815,product-815,26,35,144,70,10,192,29,136,125,96,109,178
816,product-816,40,62,206,215,216,112,147,26,80,243,202,213
817,product-817,99,183,95,173,180,209,27,96,1,194,45,97
818,product-818,57,142,111,95,171,220,43,3,169,46,89,210
819,product-819,186,280,202,54,183,218,176,68,81,135,204,60
820,product-820,44,123,109,25,150,46,52,55,213,147,189,184
821,product-821,204,216,137,123,280,79,49,176,210,165,50,91
822,product-822,43,51,193,70,182,96,210,144,87,126,178,122
823,product-823,142,158,78,161,24,89,203,108,121,81,110,170
824,product-824,91,104,195,159,83,11,84,99,158,25,28,33
825,product-825,259,318,219,24,9,169,80,177,101,107,248,49
826,product-826,157,179,138,106,156,85,14,200,125,119,84,186
827,product-827,77,131,263,165,214,109,133,213,111,215,33,145
828,product-828,112,178,220,49,182,177,124,216,137,15,206,132
829,product-829,110,196,110,87,166,152,58,206,208,35,139,127
830,product-830,170,218,191,128,68,204,186,189,235,111,91,77
831,product-831,101,192,248,158,96,42,106,174,172,180,59,71
832,product-832,191,239,51,121,161,174,172,94,141,136,22,219
833,product-833,190,246,187,136,145,73,237,32,198,133,135,70
834,product-834,80,134,119,87,163,76,141,140,26,226,208,125
835,product-835,85,86,278,33,216,64,172,229,94,21,113,16
836,product-836,41,105,128,64,42,184,181,150,118,192,236,182
837,product-837,171,200,70,58,119,144,51,139,85,106,73,133
838,product-838,76,89,222,74,94,147,160,38,156,61,200,196
839,product-839,167,213,119,98,8,192,102,34,194,35,77,208
840,product-840,143,201,130,105,138,9,84,167,27,47,183,16
841,product-841,205,260,23,53,134,32,131,53,112,84,36,100
842,product-842,200,271,168,17,33,92,150,66,84,264,49,203
843,product-843,64,110,46,196,143,222,162,90,24,169,197,193
844,product-844,76,79,57,39,98,60,223,49,97,18,181,18
845,product-845,110,193,86,133,131,66,47,219,161,128,209,100
846,product-846,151,240,94,141,132,111,178,104,194,64,202,192
847,product-847,179,207,72,109,40,61,63,98,66,186,226,161
848,product-848,230,304,104,35,31,221,157,114,69,241,187,194
849,product-849,63,81,91,6,219,31,129,68,29,36,2,105
850,product-850,69,77,199,246,84,168,15,163,80,177,100,79
851,product-851,100,118,205,72,205,47,172,137,1,175,79,42
852,product-852,179,270,200,108,237,162,244,86,179,197,60,137
853,product-853,223,297,188,148,158,205,162,194,154,160,105,236
854,product-854,146,174,209,16,116,251,151,141,154,100,62,36
855,product-855,55,142,113,16,70,66,223,131,240,63,186,106
856,product-856,122,207,33,185,132,15,183,60,28,42,120,233
857,product-857,100,146,40,99,188,67,122,108,191,106,32,111
858,product-858,187,280,191,123,168,76,205,103,78,150,156,126
859,product-859,43,103,158,267,126,114,90,212,104,40,160,66
860,product-860,139,159,183,75,123,201,226,130,88,7,67,125
861,product-861,89,97,57,50,32,111,135,130,29,129,53,52
862,product-862,68,140,106,216,37,174,181,150,120,50,108,82
863,product-863,109,121,147,38,70,130,194,49,56,146,74,187
864,product-864,55,120,217,159,169,185,228,121,191,259,110,72
865,product-865,86,112,97,144,230,189,141,96,18,181,198,205
866,product-866,138,174,85,242,223,77,34,57,162,68,200,99
867,product-867,53,59,145,195,180,169,180,51,135,144,94,70
868,product-868,171,255,166,35,174,56,25,184,124,55,95,100
869,product-869,203,286,113,230,93,194,211,49,90,151,22,172
870,product-870,188,236,133,39,137,212,172,23,175,134,156,110
871,product-871,169,240,184,113,238,125,188,79,185,153,125,132
872,product-872,82,94,207,127,54,81,176,217,162,78,139,110
873,product-873,182,262,60,52,188,214,117,90,146,269,128,101
874,product-874,204,212,54,39,131,181,167,187,45,202,90,90
875,product-875,91,141,199,53,135,36,123,83,208,63,90,105
876,product-876,179,222,214,27,93,223,131,60,114,202,173,84
877,product-877,223,246,133,84,55,111,75,80,170,32,130,113
878,product-878,95,103,140,170,176,95,178,100,72,193,62,15
879,product-879,208,296,56,200,54,95,151,143,72,190,151,102
880,product-880,181,216,170,240,17,188,130,169,3,171,65,72
881,product-881,201,293,50,208,161,72,160,75,96,280,137,177
882,product-882,192,206,171,124,94,165,60,49,146,215,43,122
883,product-883,147,217,35,69,135,28,191,141,57,27,83,19
884,product-884,243,245,85,102,196,165,39,79,174,104,205,53
885,product-885,150,185,199,163,134,45,58,235,182,178,221,235
886,product-886,58,136,20,94,195,153,16,90,89,151,203,8
887,product-887,188,230,75,190,20,92,45,123,269,33,184,97
888,product-888,143,225,54,21,108,136,131,73,40,106,178,154
889,product-889,17,57,72,7,100,156,152,106,69,238,189,194
890,product-890,104,118,194,126,153,133,81,204,59,131,160,179
891,product-891,224,245,74,150,206,60,118,207,121,119,189,243
892,product-892,123,124,146,229,125,144,53,161,55,26,63,85
893,product-893,105,108,145,84,26,178,162,131,196,36,214,17
894,product-894,41,113,78,197,157,119,191,118,17,70,143,92
895,product-895,122,169,14,15,216,97,265,175,178,253,121,196
896,product-896,194,202,143,109,211,166,75,148,203,86,129,64
897,product-897,71,103,133,180,189,201,94,95,36,119,193,18
898,product-898,248,279,159,88,10,186,181,210,138,203,142,192
899,product-899,146,159,86,16,9,125,22,113,87,24,69,130
900,product-900,112,128,155,179,77,72,90,108,49,154,223,226
901,product-901,97,174,212,78,188,212,29,78,181,148,53,139
902,product-902,120,152,154,107,226,191,148,207,46,196,70,57
903,product-903,106,122,170,154,66,22,199,67,67,176,40,173
904,product-904,165,243,208,145,60,81,196,35,99,122,204,73
905,product-905,11,27,95,253,155,116,166,30,12,110,117,72
906,product-906,47,138,112,30,87,167,82,115,193,169,154,24
907,product-907,189,261,151,157,176,167,54,37,165,33,120,154
908,product-908,63,75,133,65,208,121,191,50,158,165,74,177
909,product-909,46,83,18,143,194,16,201,103,222,235,112,98
910,product-910,110,197,76,153,168,48,166,98,169,252,191,131
911,product-911,51,121,194,169,48,53,222,116,53,80,157,146
912,product-912,161,190,221,130,233,114,127,127,9,142,174,97
913,product-913,142,150,74,84,60,164,150,173,81,91,88,150
914,product-914,161,241,8,84,130,58,243,129,52,84,162,69
915,product-915,63,147,200,20,180,14,196,48,131,106,158,198
916,product-916,169,235,172,153,161,62,197,219,244,226,143,173
917,product-917,76,137,120,46,49,101,104,149,66,190,200,116
918,product-918,70,100,196,87,37,110,38,49,75,87,191,121
919,product-919,252,334,139,92,173,181,150,168,45,185,171,231
920,product-920,207,237,158,40,202,21,163,190,74,145,69,198
921,product-921,186,196,196,166,17,110,121,13,59,39,51,166
922,product-922,71,80,57,123,175,189,36,112,46,190,81,38
923,product-923,33,43,71,192,158,32,55,10,54,116,59,104
924,product-924,209,272,62,136,52,92,51,77,159,112,54,58
925,product-925,115,118,76,67,220,205,11,132,142,57,94,117
926,product-926,107,169,158,30,217,134,31,38,161,148,213,174
